


User 33%, System 21%, IOW 0%, IRQ 0%
User 60 + Nice 0 + Sys 38 + Idle 80 + IOW 0 + IRQ 0 + SIRQ 0 = 178

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
18427  1  26% S    43 1789972K 180628K  fg u0_a233  com.idainizhuang.dnz.test
26699  0   8% R     1   5024K   1508K     shell    top
 4137  2   3% S    15 1619260K 121352K  bg system   com.android.settings
  261  0   2% S    16 164496K  12852K  fg system   /system/bin/surfaceflinger
 1105  0   1% S   146 1879512K 202460K  fg system   system_server
 2488  0   1% S     6  12096K    904K     root     /system/bin/mpdecision
 2215  0   0% S     1   4740K   1392K     audit    /system/bin/auditd
  259  0   0% S     1   4860K   1708K     system   /system/bin/servicemanager
  174  0   0% S     1      0K      0K     root     cfinteractive
  219  0   0% S     1   4024K   1404K     root     /sbin/ueventd
    6  0   0% D     1      0K      0K     root     kworker/u:0
21857  1   0% S    19 1602808K  82652K  fg system   com.samsung.android.MtpApplication
 5420  0   0% S     1      0K      0K     root     kworker/0:0H
   35  1   0% S     1      0K      0K     root     mpm
   36  0   0% S     1      0K      0K     root     sync_supers
   37  0   0% S     1      0K      0K     root     bdi-default
   38  1   0% S     1      0K      0K     root     kblockd
   39  3   0% S     1      0K      0K     root     system
   40  0   0% S     1      0K      0K     root     khubd
   41  0   0% S     1      0K      0K     root     irq/332-max7780
   42  1   0% S     1      0K      0K     root     irq/102-msm_iom
   43  1   0% S     1      0K      0K     root     irq/102-msm_iom
   44  1   0% S     1      0K      0K     root     irq/102-msm_iom
   45  1   0% S     1      0K      0K     root     irq/79-msm_iomm
   46  1   0% S     1      0K      0K     root     irq/78-msm_iomm
   47  1   0% S     1      0K      0K     root     irq/78-msm_iomm
   48  1   0% S     1      0K      0K     root     irq/74-msm_iomm
   49  1   0% S     1      0K      0K     root     irq/75-msm_iomm
   50  1   0% S     1      0K      0K     root     irq/75-msm_iomm
   51  1   0% S     1      0K      0K     root     irq/75-msm_iomm
   52  1   0% S     1      0K      0K     root     irq/75-msm_iomm
   53  1   0% S     1      0K      0K     root     irq/273-msm_iom
   54  1   0% S     1      0K      0K     root     irq/273-msm_iom
   55  1   0% S     1      0K      0K     root     irq/273-msm_iom
   56  1   0% S     1      0K      0K     root     irq/97-msm_iomm
   57  1   0% S     1      0K      0K     root     irq/97-msm_iomm
   58  1   0% S     1      0K      0K     root     irq/97-msm_iomm
   59  1   0% S     1      0K      0K     root     devfreq_wq
   60  1   0% S     1      0K      0K     root     l2cap
   61  1   0% S     1      0K      0K     root     a2mp
   62  1   0% S     1      0K      0K     root     cfg80211
   65  1   0% S     1      0K      0K     root     irq/463-adsp
   66  1   0% S     1      0K      0K     root     irq/399-mba
   67  1   0% S     1      0K      0K     root     qmi
   68  1   0% S     1      0K      0K     root     nmea
   69  1   0% S     1      0K      0K     root     msm_ipc_router
   70  1   0% S     1      0K      0K     root     apr_driver
   74  1   0% S     1      0K      0K     root     kswapd0
   75  0   0% S     1      0K      0K     root     fsnotify_mark
   76  0   0% S     1      0K      0K     root     ecryptfs-kthrea
   77  1   0% S     1      0K      0K     root     crypto
  128  1   0% D     1      0K      0K     root     mdss_dsi_event
  129  1   0% S     1      0K      0K     root     hdmi_tx_workq
  130  1   0% S     1      0K      0K     root     sii8240-cmdwq
  131  1   0% S     1      0K      0K     root     sii8240-aviwq
  132  1   0% S     1      0K      0K     root     mhl_detection_w
  133  1   0% S     1      0K      0K     root     mhl_link_monito
  134  1   0% S     1      0K      0K     root     irq/329-sii8240
  135  1   0% S     1      0K      0K     root     k_hsuart
  136  1   0% S     1      0K      0K     root     kgsl-3d0
  137  1   0% S     1      0K      0K     root     kgsl_devfreq_wq
  138  1   0% S     1      0K      0K     root     barcode_firmwar
  139  1   0% S     1      0K      0K     root     irq/368-muic-ad
  140  1   0% S     1      0K      0K     root     irq/372-muic-ch
  141  1   0% S     1      0K      0K     root     irq/376-muic-vb
  142  1   0% S     1      0K      0K     root     irq/371-muic-ad
  143  2   0% S     1      0K      0K     root     spi0
  144  0   0% S     1      0K      0K     root     spi32766
  146  0   0% S     1      0K      0K     root     spi11
  149  1   0% S     1      0K      0K     root     usbnet
  150  1   0% S     1      0K      0K     root     irq/626-usb_vbu
  151  1   0% S     1      0K      0K     root     k_rmnet_mux_wor
  152  1   0% S     1      0K      0K     root     k_gserial
  153  1   0% S     1      0K      0K     root     mtp_read_send
  154  0   0% S     1      0K      0K     root     file-storage
  155  1   0% S     1      0K      0K     root     uether
  157  0   0% S     1      0K      0K     root     irq/627-cypress
  158  1   0% S     1      0K      0K     root     cypress_touchke
  159  1   0% S     1      0K      0K     root     kpsmoused
  160  2   0% S     1      0K      0K     root     irq/327-
  161  1   0% S     1      0K      0K     root     irq/628-
  162  1   0% S     1      0K      0K     root     irq/629-pen_ins
  163  1   0% S     1      0K      0K     root     f54_status_work
  164  1   0% S     1      0K      0K     root     irq/630-synapti
  165  1   0% S     1      0K      0K     root     pwron_alarm_res
  166  1   0% S     1      0K      0K     root     msm_vidc_worker
  167  1   0% S     1      0K      0K     root     pm_workerq_venu
  168  1   0% S     1      0K      0K     root     msm_vidc_worker
  169  1   0% S     1      0K      0K     root     msm_cpp_workque
  170  1   0% D     1      0K      0K     root     dbs_sync/0
  171  1   0% D     1      0K      0K     root     dbs_sync/1
  172  1   0% D     1      0K      0K     root     dbs_sync/2
  173  1   0% D     1      0K      0K     root     dbs_sync/3
  175  0   0% S     1      0K      0K     root     irq/170-msm_sdc
  176  0   0% S     1      0K      0K     root     irq/256-msm_sdc
  178  1   0% S     1      0K      0K     root     binder
  179  1   0% S     1      0K      0K     root     usb_bam_wq
  180  1   0% S     1      0K      0K     root     irq/632-fuelgau
    1  0   0% S     1   4028K   1600K     root     /init
  182  1   0% S     1      0K      0K     root     irq/366-wpc-int
  183  1   0% S     1      0K      0K     root     irq/361-bypass-
  184  1   0% S     1      0K      0K     root     ssp_debug_wq
  185  1   0% S     1      0K      0K     root     irq/625-SSP_Int
  186  0   0% S     1      0K      0K     root     mmcqd/1
  187  0   0% S     1      0K      0K     root     mmcqd/1rpmb
  190  1   0% S     1      0K      0K     root     ssp_sensorhub_t
  191  1   0% S     1      0K      0K     root     ES325
  192  1   0% S     1      0K      0K     root     bam_dmux_rx
  193  1   0% S     1      0K      0K     root     bam_dmux_tx
  194  1   0% S     1      0K      0K     root     rq_stats
  195  1   0% S     1      0K      0K     root     spi_wq
  196  1   0% S     1      0K      0K     root     spi_modem_wq
  197  1   0% S     1      0K      0K     root     deferwq
  198  1   0% S     1      0K      0K     root     sec_jack_wq
  199  1   0% S     1      0K      0K     root     sec_jack_button
  201  1   0% S     1      0K      0K     root     sb-1
  202  0   0% D     1      0K      0K     root     ngd_rx_thread1
  203  0   0% D     1      0K      0K     root     ngd_notify_sl1
  204  1   0% S     1      0K      0K     root     irq/638-flip_co
  205  0   0% S     1      0K      0K     root     w1_bus_master1
  206  1   0% S     1      0K      0K     root     msm_thermal:hot
  207  1   0% S     1      0K      0K     root     msm_thermal:fre
  208  1   0% S     1      0K      0K     root     msm_thermal:the
  209  0   0% S     1      0K      0K     root     boost_sync/0
  210  1   0% S     1      0K      0K     root     boost_sync/1
  211  2   0% S     1      0K      0K     root     boost_sync/2
  212  3   0% S     1      0K      0K     root     boost_sync/3
  213  1   0% S     1      0K      0K     root     battery.93
  214  1   0% S     1      0K      0K     root     irq/631-battery
  215  0   0% S     1      0K      0K     root     wl_event_handle
  216  0   0% S     1      0K      0K     root     dhd_watchdog_th
  217  0   0% S     1      0K      0K     root     dhd_dpc
  218  0   0% S     1      0K      0K     root     dhd_rxf
  220  0   0% S     1      0K      0K     root     irq/367-chgin-i
  221  0   0% S     1      0K      0K     root     irq/362-battery
  224  0   0% S     1      0K      0K     root     jbd2/mmcblk0p24
  225  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  227  0   0% S     1      0K      0K     root     jbd2/mmcblk0p27
  228  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  230  0   0% S     1      0K      0K     root     jbd2/mmcblk0p25
  231  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  233  0   0% S     1      0K      0K     root     jbd2/mmcblk0p22
  234  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  236  2   0% S     1      0K      0K     root     jbd2/mmcblk0p11
  237  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  239  0   0% S     1      0K      0K     root     jbd2/mmcblk0p23
  240  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  251  0   0% S     1      0K      0K     root     IPCRTR
  254  0   0% S     1      0K      0K     root     ipc_rtr_q6_ipcr
  255  0   0% S     4  10060K    916K     logd     /system/bin/logd
